GEMINI 3 PRO PREVIEW BACKTEST REPORT
Generated: 2025-12-19T22:21:57.666Z
Model: gemini-3-pro-preview
Total Matches: 21
Failed Predictions: 0
1X2 Accuracy: 13/21 (61.9%)
BTTS Accuracy: 10/21 (47.6%)
Over 2.5 Accuracy: 13/21 (61.9%)
Processing Time: 4.3 minutes


#,Date,League,Home Team,Away Team,Score,Result,Home Odds,Draw Odds,Away Odds,BTTS Yes Odds,BTTS No Odds,O2.5 Odds,U2.5 Odds,Pred 1X2,Home %,Draw %,Away %,1X2 Correct,Pred BTTS,Actual BTTS,BTTS Correct,O2.5 %,Actual O2.5,O2.5 Correct,Confidence,AI Analysis
1,2025-12-14,"La Liga","Alaves","Real Madrid",1-2,2,5.90,4.00,1.57,1.83,1.91,1.83,1.95,2,25.3,23.5,51.2,YES,No,Yes,NO,60,Yes,YES,Low,"As Alaves prepares to host Real Madrid at the Estadio Mendizorrotza; several key factors are influencing the predictions surrounding this match. The most notable is the disparity in league standings; "
2,2025-12-14,"Ligue 1","Marseille","Monaco",1-0,1,1.92,3.75,3.65,1.45,2.55,1.53,2.45,1,44.6,23.7,31.7,YES,Yes,No,NO,57,No,NO,Low,"As Marseille prepares to host Monaco at the Orange Vélodrome; several key factors are influencing the match's prediction landscape. The current standings place Marseille in a strong position; sitting "
3,2025-12-14,"Serie A","Bologna","Juventus",0-1,2,3.35,3.25,2.22,1.73,2.05,1.93,1.85,2,33.7,27.7,38.6,YES,Yes,No,NO,51,No,NO,Low,"In the upcoming Serie A clash between Bologna and Juventus at Stadio Renato Dall'Ara; several key factors are likely to influence the match outcome. Both teams are positioned closely in the league sta"
4,2025-12-14,"Bundesliga","Werder Bremen","VfB Stuttgart",0-4,2,2.80,3.65,2.32,1.45,2.60,1.55,2.40,2,35.7,24.9,39.4,YES,Yes,No,NO,57,Yes,YES,Low,"As Werder Bremen prepares to host VfB Stuttgart at the Weserstadion; several key factors will influence the outcome of this Bundesliga clash. The current standings see Werder Bremen in 12th place; sug"
5,2025-12-14,"Serie A","Genoa","Inter",1-2,2,6.80,3.90,1.52,2.05,1.73,2.00,1.80,2,26.3,23.6,50.1,YES,No,Yes,NO,57,Yes,YES,Low,"As Genoa prepares to host Inter Milan at the Stadio Luigi Ferraris; several key factors are influencing the match prediction. Inter sits comfortably at the top of the Serie A table; showcasing their d"
6,2025-12-14,"Premier League","Brentford","Leeds",1-1,X,2.15,3.20,3.55,1.91,1.83,2.20,1.65,1,40.4,27.7,31.8,NO,No,Yes,NO,48,No,YES,Medium,"In the upcoming clash between Brentford and Leeds at the Brentford Community Stadium; several key factors are likely to influence the match outcome. Both teams find themselves in the lower half of the"
7,2025-12-14,"Bundesliga","Bayern München","FSV Mainz 05",2-2,X,1.09,11.00,19.50,1.80,1.95,1.20,4.50,1,61.6,17.9,20.5,NO,No,Yes,NO,69,Yes,YES,Low,"As Bayern München prepares to host FSV Mainz 05 at the Allianz Arena; several key factors will influence the probable outcome of this Bundesliga clash. Firstly; Bayern's position at the top of the lea"
8,2025-12-14,"Ligue 1","Strasbourg","Lorient",0-0,X,1.78,3.65,4.45,1.73,2.00,1.85,1.93,1,44.5,26.3,29.2,NO,No,No,YES,55.6,No,NO,Low,"As Strasbourg prepares to host Lorient at the Stade de la Meinau; several key factors will influence the match's outcome. Strasbourg currently sits in 7th place; indicating a solid position in the Lig"
9,2025-12-14,"Ligue 1","Lens","Nice",2-0,1,1.52,4.33,5.80,1.60,2.20,1.53,2.45,1,48.2,22.8,29,YES,No,No,YES,48,No,YES,Low,"As Lens prepares to host Nice at Stade Bollaert-Delelis; several key factors come into play that may influence the outcome of this Ligue 1 clash. Firstly; Lens currently occupies the top spot in the l"
10,2025-12-14,"Ligue 1","Auxerre","Lille",3-4,2,4.10,3.35,1.94,1.85,1.85,2.10,1.73,2,28.9,26.4,44.7,YES,No,Yes,NO,57,Yes,YES,Low,"In the upcoming clash between Auxerre and Lille at the Stade de l'Abbé Deschamps; several key factors emerge that may influence the match outcome. Firstly; the standings position underscores a notable"
